date,year,month,day,6138 ダイジェット工業(株),5009 富士興産(株),6185 ＳＭＮ(株),3667 (株)ｅｎｉｓｈ,レオパレス21：前日比,レオパレス21：翌日比
2020-08-25,2020,8,25,43.0,-4.0,-10.0,7.0,4.0,2.0
2020-08-24,2020,8,24,12.0,21.0,-29.0,-7.0,-3.0,4.0
2020-08-21,2020,8,21,16.0,41.0,32.0,20.0,6.0,-3.0
2020-08-20,2020,8,20,11.0,4.0,-1.0,-27.0,-4.0,6.0
2020-08-19,2020,8,19,-32.0,30.0,33.0,-10.0,5.0,-4.0
2020-08-18,2020,8,18,0.0,4.0,20.0,-12.0,3.0,5.0
2020-08-17,2020,8,17,25.0,18.0,-2.0,68.0,-5.0,3.0
2020-08-14,2020,8,14,-32.0,16.0,-13.0,17.0,-4.0,-5.0
2020-08-13,2020,8,13,44.0,3.0,-3.0,5.0,-3.0,-4.0
2020-08-12,2020,8,12,50.0,25.0,0.0,-60.0,14.0,-3.0
2020-08-07,2020,8,7,-22.0,-1.0,-21.0,-34.0,-1.0,14.0
2020-08-06,2020,8,6,-10.0,-8.0,-28.0,-88.0,-1.0,-1.0
2020-08-05,2020,8,5,-3.0,13.0,5.0,-11.0,-2.0,-1.0
2020-08-04,2020,8,4,-10.0,15.0,10.0,-77.0,18.0,-2.0
2020-08-03,2020,8,3,-30.0,10.0,32.0,150.0,-5.0,18.0
2020-07-31,2020,7,31,-45.0,-17.0,-185.0,63.0,-11.0,-5.0
2020-07-30,2020,7,30,-37.0,7.0,108.0,-16.0,-5.0,-11.0
2020-07-29,2020,7,29,-30.0,-8.0,-22.0,8.0,-7.0,-5.0
2020-07-28,2020,7,28,-27.0,-13.0,1.0,47.0,-6.0,-7.0
2020-07-27,2020,7,27,31.0,8.0,-19.0,-13.0,0.0,-6.0
2020-07-22,2020,7,22,-25.0,5.0,-7.0,-34.0,1.0,0.0
2020-07-21,2020,7,21,41.0,0.0,29.0,59.0,-1.0,1.0
